week_start,sku_id,units_sold,gb_prediction,forecast_lower_80,forecast_upper_80
2023-07-03,S001_P0001,611,982.6489135417187,592.1159225349827,1342.6674763999554
2023-07-10,S001_P0001,797,957.2259110112612,566.6929200045251,1317.244473869498
2023-07-17,S001_P0001,1217,979.8572074871205,589.3242164803844,1339.875770345357
2023-07-24,S001_P0001,1470,967.8305137373319,577.2975227305958,1327.8490765955685
2023-07-31,S001_P0001,969,969.6559068493946,579.1229158426586,1329.6744697076313
2023-08-07,S001_P0001,1261,969.6559068493946,579.1229158426586,1329.6744697076313
2023-08-14,S001_P0001,999,959.4541276799721,568.9211366732361,1319.4726905382088
2023-08-21,S001_P0001,981,952.658796030603,562.1258050238669,1312.6773588888395
2023-08-28,S001_P0001,722,969.6559068493946,579.1229158426586,1329.6744697076313
2023-09-04,S001_P0001,771,972.5849380602817,582.0519470535457,1332.6035009185184
2023-09-11,S001_P0001,462,939.7079539517127,549.1749629449766,1299.7265168099493
2023-09-18,S001_P0001,1292,949.7451837685833,559.2121927618473,1309.76374662682
2023-09-25,S001_P0001,1083,927.5253641397828,536.9923731330468,1287.5439269980195
2023-10-02,S001_P0001,856,952.6611334589236,562.1281424521876,1312.6796963171603
2023-10-09,S001_P0001,506,937.1703533622085,546.6373623554725,1297.1889162204452
2023-10-16,S001_P0001,1103,871.6748750124177,481.1418840056817,1231.6934378706544
2023-10-23,S001_P0001,1098,961.3398305753029,570.8068395685668,1321.3583934335397
2023-10-30,S001_P0001,1164,961.3398305753029,570.8068395685668,1321.3583934335397
2023-11-06,S001_P0001,899,921.5230439721151,530.9900529653792,1281.5416068303518
2023-11-13,S001_P0001,928,952.6611334589236,562.1281424521876,1312.6796963171603
2023-11-20,S001_P0001,1183,952.6611334589236,562.1281424521876,1312.6796963171603
2023-11-27,S001_P0001,1137,955.2622755116304,564.7292845048944,1315.280838369867
2023-12-04,S001_P0001,904,893.5775545798424,503.04456357310636,1253.596117438079
2023-12-11,S001_P0001,805,919.8904738706564,529.3574828639203,1279.9090367288932
2023-12-18,S001_P0001,1285,963.9062409439024,573.3732499371663,1323.9248038021392
2023-12-25,S001_P0001,619,961.3398305753029,570.8068395685668,1321.3583934335397
2023-07-03,S001_P0002,1291,975.655522002899,585.122530996163,1335.6740848611357
2023-07-10,S001_P0002,951,935.604228048551,545.071237041815,1295.6227909067877
2023-07-17,S001_P0002,333,935.604228048551,545.071237041815,1295.6227909067877
2023-07-24,S001_P0002,810,1008.7156104385774,618.1826194318414,1368.734173296814
