date,sku_id,on_hand_units,on_order_units
2022-01-01,S001_P0001,231,55
2022-01-01,S001_P0002,204,66
2022-01-01,S001_P0003,102,51
2022-01-01,S001_P0004,469,164
2022-01-01,S001_P0005,166,135
2022-01-01,S001_P0006,138,102
2022-01-01,S001_P0007,359,167
2022-01-01,S001_P0008,380,54
2022-01-01,S001_P0009,183,135
2022-01-01,S001_P0010,108,196
2022-01-01,S001_P0011,258,153
2022-01-01,S001_P0012,66,70
2022-01-01,S001_P0013,96,85
2022-01-01,S001_P0014,193,187
2022-01-01,S001_P0015,379,154
2022-01-01,S001_P0016,363,69
2022-01-01,S001_P0017,318,177
2022-01-01,S001_P0018,241,47
2022-01-01,S001_P0019,352,186
2022-01-01,S001_P0020,274,166
2022-01-01,S002_P0001,343,144
2022-01-01,S002_P0002,373,151
2022-01-01,S002_P0003,445,119
2022-01-01,S002_P0004,191,115
2022-01-01,S002_P0005,281,25
2022-01-01,S002_P0006,492,168
2022-01-01,S002_P0007,460,70
2022-01-01,S002_P0008,304,99
2022-01-01,S002_P0009,113,84
2022-01-01,S002_P0010,157,181
2022-01-01,S002_P0011,67,33
2022-01-01,S002_P0012,281,136
2022-01-01,S002_P0013,389,177
2022-01-01,S002_P0014,465,77
2022-01-01,S002_P0015,197,94
2022-01-01,S002_P0016,242,85
2022-01-01,S002_P0017,398,92
2022-01-01,S002_P0018,234,140
2022-01-01,S002_P0019,67,186
2022-01-01,S002_P0020,221,38
2022-01-01,S003_P0001,241,180
2022-01-01,S003_P0002,115,169
2022-01-01,S003_P0003,375,145
2022-01-01,S003_P0004,153,145
2022-01-01,S003_P0005,438,20
2022-01-01,S003_P0006,456,22
2022-01-01,S003_P0007,189,107
2022-01-01,S003_P0008,223,107
2022-01-01,S003_P0009,381,184
2022-01-01,S003_P0010,166,124
2022-01-01,S003_P0011,292,155
2022-01-01,S003_P0012,311,55
2022-01-01,S003_P0013,51,172
2022-01-01,S003_P0014,398,26
2022-01-01,S003_P0015,445,24
2022-01-01,S003_P0016,487,93
2022-01-01,S003_P0017,429,168
2022-01-01,S003_P0018,204,170
2022-01-01,S003_P0019,330,37
2022-01-01,S003_P0020,431,99
2022-01-01,S004_P0001,477,66
2022-01-01,S004_P0002,462,183
2022-01-01,S004_P0003,446,27
2022-01-01,S004_P0004,437,160
2022-01-01,S004_P0005,397,172
2022-01-01,S004_P0006,470,195
2022-01-01,S004_P0007,264,139
2022-01-01,S004_P0008,250,137
2022-01-01,S004_P0009,63,73
2022-01-01,S004_P0010,447,96
2022-01-01,S004_P0011,205,27
2022-01-01,S004_P0012,349,165
2022-01-01,S004_P0013,191,65
2022-01-01,S004_P0014,406,139
2022-01-01,S004_P0015,228,127
2022-01-01,S004_P0016,263,24
2022-01-01,S004_P0017,203,75
2022-01-01,S004_P0018,143,27
2022-01-01,S004_P0019,359,125
2022-01-01,S004_P0020,211,37
2022-01-01,S005_P0001,111,60
2022-01-01,S005_P0002,415,107
2022-01-01,S005_P0003,384,26
2022-01-01,S005_P0004,436,174
2022-01-01,S005_P0005,180,47
2022-01-01,S005_P0006,185,163
2022-01-01,S005_P0007,292,140
2022-01-01,S005_P0008,478,197
2022-01-01,S005_P0009,182,27
2022-01-01,S005_P0010,87,141
2022-01-01,S005_P0011,427,128
2022-01-01,S005_P0012,245,188
2022-01-01,S005_P0013,317,95
2022-01-01,S005_P0014,325,43
2022-01-01,S005_P0015,411,119
2022-01-01,S005_P0016,71,32
2022-01-01,S005_P0017,388,98
2022-01-01,S005_P0018,161,66
2022-01-01,S005_P0019,235,124
2022-01-01,S005_P0020,108,52
2022-01-02,S001_P0001,116,104
2022-01-02,S001_P0002,416,79
2022-01-02,S001_P0003,488,163
2022-01-02,S001_P0004,248,107
2022-01-02,S001_P0005,238,40
2022-01-02,S001_P0006,471,32
2022-01-02,S001_P0007,178,149
2022-01-02,S001_P0008,92,121
2022-01-02,S001_P0009,99,182
2022-01-02,S001_P0010,171,163
2022-01-02,S001_P0011,215,173
2022-01-02,S001_P0012,281,187
2022-01-02,S001_P0013,455,124
2022-01-02,S001_P0014,84,20
2022-01-02,S001_P0015,246,67
2022-01-02,S001_P0016,399,147
2022-01-02,S001_P0017,242,105
2022-01-02,S001_P0018,478,168
2022-01-02,S001_P0019,156,67
2022-01-02,S001_P0020,221,168
2022-01-02,S002_P0001,402,141
2022-01-02,S002_P0002,132,60
2022-01-02,S002_P0003,218,31
2022-01-02,S002_P0004,131,109
2022-01-02,S002_P0005,93,128
2022-01-02,S002_P0006,344,154
2022-01-02,S002_P0007,340,148
2022-01-02,S002_P0008,241,187
2022-01-02,S002_P0009,296,157
2022-01-02,S002_P0010,472,65
2022-01-02,S002_P0011,308,22
2022-01-02,S002_P0012,434,30
2022-01-02,S002_P0013,287,92
2022-01-02,S002_P0014,190,134
2022-01-02,S002_P0015,353,191
2022-01-02,S002_P0016,210,70
2022-01-02,S002_P0017,193,38
2022-01-02,S002_P0018,124,46
2022-01-02,S002_P0019,492,132
2022-01-02,S002_P0020,222,42
2022-01-02,S003_P0001,277,40
2022-01-02,S003_P0002,175,140
2022-01-02,S003_P0003,157,187
2022-01-02,S003_P0004,120,154
2022-01-02,S003_P0005,375,61
2022-01-02,S003_P0006,302,33
2022-01-02,S003_P0007,375,40
2022-01-02,S003_P0008,248,50
2022-01-02,S003_P0009,219,196
2022-01-02,S003_P0010,146,155
2022-01-02,S003_P0011,218,111
2022-01-02,S003_P0012,260,142
2022-01-02,S003_P0013,414,53
2022-01-02,S003_P0014,420,71
2022-01-02,S003_P0015,435,159
2022-01-02,S003_P0016,230,173
2022-01-02,S003_P0017,456,78
2022-01-02,S003_P0018,319,83
2022-01-02,S003_P0019,59,135
2022-01-02,S003_P0020,155,92
2022-01-02,S004_P0001,144,45
2022-01-02,S004_P0002,283,156
2022-01-02,S004_P0003,347,122
2022-01-02,S004_P0004,410,128
2022-01-02,S004_P0005,99,76
2022-01-02,S004_P0006,97,138
2022-01-02,S004_P0007,339,95
2022-01-02,S004_P0008,144,119
2022-01-02,S004_P0009,110,28
2022-01-02,S004_P0010,348,67
2022-01-02,S004_P0011,458,144
2022-01-02,S004_P0012,403,24
2022-01-02,S004_P0013,198,161
2022-01-02,S004_P0014,472,166
2022-01-02,S004_P0015,178,79
2022-01-02,S004_P0016,215,111
2022-01-02,S004_P0017,477,150
2022-01-02,S004_P0018,198,62
2022-01-02,S004_P0019,110,83
2022-01-02,S004_P0020,254,112
2022-01-02,S005_P0001,223,53
2022-01-02,S005_P0002,100,114
2022-01-02,S005_P0003,397,35
2022-01-02,S005_P0004,442,38
2022-01-02,S005_P0005,411,194
2022-01-02,S005_P0006,76,175
2022-01-02,S005_P0007,257,148
2022-01-02,S005_P0008,353,57
2022-01-02,S005_P0009,119,76
2022-01-02,S005_P0010,403,77
2022-01-02,S005_P0011,60,149
2022-01-02,S005_P0012,182,121
2022-01-02,S005_P0013,455,136
2022-01-02,S005_P0014,437,116
2022-01-02,S005_P0015,289,83
2022-01-02,S005_P0016,487,106
2022-01-02,S005_P0017,418,76
2022-01-02,S005_P0018,89,113
2022-01-02,S005_P0019,421,152
2022-01-02,S005_P0020,211,189
2022-01-03,S001_P0001,154,189
2022-01-03,S001_P0002,282,70
2022-01-03,S001_P0003,183,124
2022-01-03,S001_P0004,239,51
2022-01-03,S001_P0005,368,56
2022-01-03,S001_P0006,57,40
2022-01-03,S001_P0007,460,70
2022-01-03,S001_P0008,214,150
2022-01-03,S001_P0009,407,55
2022-01-03,S001_P0010,51,155
2022-01-03,S001_P0011,252,98
2022-01-03,S001_P0012,72,62
2022-01-03,S001_P0013,194,120
2022-01-03,S001_P0014,302,145
2022-01-03,S001_P0015,330,157
2022-01-03,S001_P0016,148,160
2022-01-03,S001_P0017,315,197
2022-01-03,S001_P0018,97,147
2022-01-03,S001_P0019,240,171
2022-01-03,S001_P0020,178,162
2022-01-03,S002_P0001,405,171
2022-01-03,S002_P0002,200,47
2022-01-03,S002_P0003,327,166
2022-01-03,S002_P0004,409,48
2022-01-03,S002_P0005,327,194
2022-01-03,S002_P0006,388,199
2022-01-03,S002_P0007,483,108
2022-01-03,S002_P0008,70,137
2022-01-03,S002_P0009,288,29
2022-01-03,S002_P0010,270,150
2022-01-03,S002_P0011,217,66
2022-01-03,S002_P0012,221,84
2022-01-03,S002_P0013,303,164
2022-01-03,S002_P0014,298,143
2022-01-03,S002_P0015,193,57
2022-01-03,S002_P0016,205,147
2022-01-03,S002_P0017,427,195
2022-01-03,S002_P0018,365,106
2022-01-03,S002_P0019,111,163
2022-01-03,S002_P0020,271,178
2022-01-03,S003_P0001,134,185
2022-01-03,S003_P0002,405,74
2022-01-03,S003_P0003,290,118
2022-01-03,S003_P0004,403,189
2022-01-03,S003_P0005,311,29
2022-01-03,S003_P0006,448,112
2022-01-03,S003_P0007,277,126
2022-01-03,S003_P0008,421,112
2022-01-03,S003_P0009,241,135
2022-01-03,S003_P0010,186,75
2022-01-03,S003_P0011,413,86
2022-01-03,S003_P0012,112,46
2022-01-03,S003_P0013,268,78
2022-01-03,S003_P0014,347,38
2022-01-03,S003_P0015,495,86
2022-01-03,S003_P0016,324,145
2022-01-03,S003_P0017,330,138
2022-01-03,S003_P0018,297,66
2022-01-03,S003_P0019,169,47
2022-01-03,S003_P0020,257,103
2022-01-03,S004_P0001,175,140
2022-01-03,S004_P0002,228,161
2022-01-03,S004_P0003,188,176
2022-01-03,S004_P0004,211,20
2022-01-03,S004_P0005,149,60
2022-01-03,S004_P0006,383,75
2022-01-03,S004_P0007,478,153
2022-01-03,S004_P0008,217,35
2022-01-03,S004_P0009,73,65
2022-01-03,S004_P0010,467,183
2022-01-03,S004_P0011,353,44
2022-01-03,S004_P0012,471,115
2022-01-03,S004_P0013,129,92
2022-01-03,S004_P0014,301,34
2022-01-03,S004_P0015,423,73
2022-01-03,S004_P0016,385,130
2022-01-03,S004_P0017,74,29
2022-01-03,S004_P0018,467,108
2022-01-03,S004_P0019,140,47
2022-01-03,S004_P0020,197,134
2022-01-03,S005_P0001,159,145
2022-01-03,S005_P0002,322,111
2022-01-03,S005_P0003,106,101
2022-01-03,S005_P0004,475,132
2022-01-03,S005_P0005,83,57
2022-01-03,S005_P0006,117,58
2022-01-03,S005_P0007,368,44
2022-01-03,S005_P0008,207,154
2022-01-03,S005_P0009,398,98
2022-01-03,S005_P0010,476,25
2022-01-03,S005_P0011,119,151
2022-01-03,S005_P0012,77,27
2022-01-03,S005_P0013,191,126
2022-01-03,S005_P0014,419,189
2022-01-03,S005_P0015,184,175
2022-01-03,S005_P0016,361,171
2022-01-03,S005_P0017,154,116
2022-01-03,S005_P0018,376,53
2022-01-03,S005_P0019,268,177
2022-01-03,S005_P0020,451,193
2022-01-04,S001_P0001,85,193
2022-01-04,S001_P0002,91,142
2022-01-04,S001_P0003,184,191
2022-01-04,S001_P0004,209,123
2022-01-04,S001_P0005,470,192
2022-01-04,S001_P0006,127,84
2022-01-04,S001_P0007,367,39
2022-01-04,S001_P0008,404,183
2022-01-04,S001_P0009,403,187
2022-01-04,S001_P0010,494,122
2022-01-04,S001_P0011,421,33
2022-01-04,S001_P0012,150,129
2022-01-04,S001_P0013,94,174
2022-01-04,S001_P0014,77,76
2022-01-04,S001_P0015,430,118
2022-01-04,S001_P0016,168,32
2022-01-04,S001_P0017,353,36
2022-01-04,S001_P0018,380,66
2022-01-04,S001_P0019,127,191
2022-01-04,S001_P0020,153,139
2022-01-04,S002_P0001,108,25
2022-01-04,S002_P0002,109,172
2022-01-04,S002_P0003,493,113
2022-01-04,S002_P0004,289,21
2022-01-04,S002_P0005,425,175
2022-01-04,S002_P0006,118,139
2022-01-04,S002_P0007,449,118
2022-01-04,S002_P0008,184,152
2022-01-04,S002_P0009,239,31
2022-01-04,S002_P0010,216,172
2022-01-04,S002_P0011,291,69
2022-01-04,S002_P0012,74,87
2022-01-04,S002_P0013,429,180
2022-01-04,S002_P0014,467,188
2022-01-04,S002_P0015,121,197
2022-01-04,S002_P0016,134,107
2022-01-04,S002_P0017,152,92
2022-01-04,S002_P0018,236,63
2022-01-04,S002_P0019,253,36
2022-01-04,S002_P0020,403,42
2022-01-04,S003_P0001,335,147
2022-01-04,S003_P0002,293,130
2022-01-04,S003_P0003,169,91
2022-01-04,S003_P0004,294,43
2022-01-04,S003_P0005,69,161
2022-01-04,S003_P0006,328,113
2022-01-04,S003_P0007,173,157
2022-01-04,S003_P0008,108,129
2022-01-04,S003_P0009,494,84
2022-01-04,S003_P0010,366,102
2022-01-04,S003_P0011,441,52
2022-01-04,S003_P0012,181,37
2022-01-04,S003_P0013,330,116
2022-01-04,S003_P0014,228,158
2022-01-04,S003_P0015,344,53
2022-01-04,S003_P0016,336,175
2022-01-04,S003_P0017,355,26
2022-01-04,S003_P0018,431,165
2022-01-04,S003_P0019,172,160
2022-01-04,S003_P0020,145,122
2022-01-04,S004_P0001,487,149
2022-01-04,S004_P0002,216,162
2022-01-04,S004_P0003,236,104
2022-01-04,S004_P0004,260,199
2022-01-04,S004_P0005,435,160
2022-01-04,S004_P0006,499,175
2022-01-04,S004_P0007,180,102
2022-01-04,S004_P0008,128,85
2022-01-04,S004_P0009,291,35
2022-01-04,S004_P0010,444,187
2022-01-04,S004_P0011,281,182
2022-01-04,S004_P0012,189,155
2022-01-04,S004_P0013,80,48
2022-01-04,S004_P0014,314,42
2022-01-04,S004_P0015,167,42
2022-01-04,S004_P0016,129,73
2022-01-04,S004_P0017,425,160
2022-01-04,S004_P0018,103,34
2022-01-04,S004_P0019,471,143
2022-01-04,S004_P0020,364,27
2022-01-04,S005_P0001,383,175
2022-01-04,S005_P0002,495,75
2022-01-04,S005_P0003,439,107
2022-01-04,S005_P0004,101,94
2022-01-04,S005_P0005,292,25
2022-01-04,S005_P0006,466,75
2022-01-04,S005_P0007,175,130
2022-01-04,S005_P0008,327,124
2022-01-04,S005_P0009,194,43
2022-01-04,S005_P0010,349,189
2022-01-04,S005_P0011,237,192
2022-01-04,S005_P0012,220,82
2022-01-04,S005_P0013,86,153
2022-01-04,S005_P0014,334,179
2022-01-04,S005_P0015,186,197
2022-01-04,S005_P0016,288,180
2022-01-04,S005_P0017,460,107
2022-01-04,S005_P0018,482,168
2022-01-04,S005_P0019,278,24
2022-01-04,S005_P0020,128,139
2022-01-05,S001_P0001,238,37
2022-01-05,S001_P0002,270,165
2022-01-05,S001_P0003,216,198
2022-01-05,S001_P0004,172,73
2022-01-05,S001_P0005,405,76
2022-01-05,S001_P0006,338,139
2022-01-05,S001_P0007,409,143
2022-01-05,S001_P0008,102,23
2022-01-05,S001_P0009,433,185
2022-01-05,S001_P0010,288,169
2022-01-05,S001_P0011,485,191
2022-01-05,S001_P0012,414,91
2022-01-05,S001_P0013,370,24
2022-01-05,S001_P0014,233,171
2022-01-05,S001_P0015,272,139
2022-01-05,S001_P0016,189,196
2022-01-05,S001_P0017,120,156
2022-01-05,S001_P0018,248,200
2022-01-05,S001_P0019,492,167
2022-01-05,S001_P0020,355,26
