sku_id,store_id,product_id
S001_P0001,S001,P0001
S001_P0002,S001,P0002
S001_P0003,S001,P0003
S001_P0004,S001,P0004
S001_P0005,S001,P0005
S001_P0006,S001,P0006
S001_P0007,S001,P0007
S001_P0008,S001,P0008
S001_P0009,S001,P0009
S001_P0010,S001,P0010
S001_P0011,S001,P0011
S001_P0012,S001,P0012
S001_P0013,S001,P0013
S001_P0014,S001,P0014
S001_P0015,S001,P0015
S001_P0016,S001,P0016
S001_P0017,S001,P0017
S001_P0018,S001,P0018
S001_P0019,S001,P0019
S001_P0020,S001,P0020
S002_P0001,S002,P0001
S002_P0002,S002,P0002
S002_P0003,S002,P0003
S002_P0004,S002,P0004
S002_P0005,S002,P0005
S002_P0006,S002,P0006
S002_P0007,S002,P0007
S002_P0008,S002,P0008
S002_P0009,S002,P0009
S002_P0010,S002,P0010
S002_P0011,S002,P0011
S002_P0012,S002,P0012
S002_P0013,S002,P0013
S002_P0014,S002,P0014
S002_P0015,S002,P0015
S002_P0016,S002,P0016
S002_P0017,S002,P0017
S002_P0018,S002,P0018
S002_P0019,S002,P0019
S002_P0020,S002,P0020
S003_P0001,S003,P0001
S003_P0002,S003,P0002
S003_P0003,S003,P0003
S003_P0004,S003,P0004
S003_P0005,S003,P0005
S003_P0006,S003,P0006
S003_P0007,S003,P0007
S003_P0008,S003,P0008
S003_P0009,S003,P0009
S003_P0010,S003,P0010
S003_P0011,S003,P0011
S003_P0012,S003,P0012
S003_P0013,S003,P0013
S003_P0014,S003,P0014
S003_P0015,S003,P0015
S003_P0016,S003,P0016
S003_P0017,S003,P0017
S003_P0018,S003,P0018
S003_P0019,S003,P0019
S003_P0020,S003,P0020
S004_P0001,S004,P0001
S004_P0002,S004,P0002
S004_P0003,S004,P0003
S004_P0004,S004,P0004
S004_P0005,S004,P0005
S004_P0006,S004,P0006
S004_P0007,S004,P0007
S004_P0008,S004,P0008
S004_P0009,S004,P0009
S004_P0010,S004,P0010
S004_P0011,S004,P0011
S004_P0012,S004,P0012
S004_P0013,S004,P0013
S004_P0014,S004,P0014
S004_P0015,S004,P0015
S004_P0016,S004,P0016
S004_P0017,S004,P0017
S004_P0018,S004,P0018
S004_P0019,S004,P0019
S004_P0020,S004,P0020
S005_P0001,S005,P0001
S005_P0002,S005,P0002
S005_P0003,S005,P0003
S005_P0004,S005,P0004
S005_P0005,S005,P0005
S005_P0006,S005,P0006
S005_P0007,S005,P0007
S005_P0008,S005,P0008
S005_P0009,S005,P0009
S005_P0010,S005,P0010
S005_P0011,S005,P0011
S005_P0012,S005,P0012
S005_P0013,S005,P0013
S005_P0014,S005,P0014
S005_P0015,S005,P0015
S005_P0016,S005,P0016
S005_P0017,S005,P0017
S005_P0018,S005,P0018
S005_P0019,S005,P0019
S005_P0020,S005,P0020
