sku_id,forecast_demand,forecast_lower_80,forecast_upper_80,on_hand_units,on_order_units,available_inventory,inventory_coverage_ratio,weekly_forecast,coverage_weeks,stockout_shortfall_units,stockout_risk,overstock_excess_units,overstock_risk,risk_level,unit_price,rupee_value_at_risk,risk_priority,recommended_action,grid_check
S002_P0011,11444.313014671221,6757.917122590388,15764.535768970061,137,120,257,0.02245656857432462,953.6927512226017,0.26947882289189545,11187.313014671221,True,0.0,False,Reorder Now,57.95499316005472,648360.6492446618,2,Reorder inventory,True
S004_P0012,11610.293957896018,6923.898065815185,15930.516712194858,226,58,284,0.02446105163486021,967.5244964913348,0.2935326196183225,11326.293957896018,True,0.0,False,Reorder Now,56.86109439124487,644025.4698429119,2,Reorder inventory,True
S004_P0011,11499.521053985938,6813.125161905105,15819.743808284778,102,25,127,0.011043938213059712,958.2934211654948,0.13252725855671654,11372.521053985938,True,0.0,False,Reorder Now,56.35678522571819,640918.7265144438,2,Reorder inventory,True
S003_P0007,11450.337219416842,6763.94132733601,15770.559973715683,55,92,147,0.012838049848062607,954.1947682847368,0.15405659817675127,11303.337219416842,True,0.0,False,Reorder Now,56.67221614227086,640585.1700277663,2,Reorder inventory,True
S001_P0010,11474.157512976462,6787.76162089563,15794.380267275303,180,53,233,0.020306501783376552,956.1797927480385,0.24367802140051864,11241.157512976462,True,0.0,False,Reorder Now,56.620465116279064,636479.5668300821,2,Reorder inventory,True
S003_P0011,11485.261014126223,6798.86512204539,15805.483768425063,70,167,237,0.02063514270232983,957.1050845105186,0.2476217124279579,11248.261014126223,True,0.0,False,Reorder Now,56.45790697674419,635053.2739856766,2,Reorder inventory,True
S004_P0002,11529.635417529873,6843.23952544904,15849.858171828713,98,172,270,0.023417913075506877,960.8029514608228,0.2810149569060825,11259.635417529873,True,0.0,False,Reorder Now,56.290109439124485,633806.1098973986,2,Reorder inventory,True
S004_P0005,11471.144413737391,6784.748521656558,15791.367168036231,211,53,264,0.02301426871444875,955.9287011447826,0.276171224573385,11207.144413737391,True,0.0,False,Reorder Now,56.51782489740082,633403.4255754936,2,Reorder inventory,True
S002_P0020,11489.584241790386,6803.188349709552,15809.806996089226,212,152,364,0.03168086784864193,957.4653534825321,0.3801704141837032,11125.584241790386,True,0.0,False,Reorder Now,56.87057455540356,632718.3680951631,2,Reorder inventory,True
S005_P0004,11487.71020769788,6801.314315617048,15807.932961996721,94,33,127,0.011055292804557141,957.3091839748234,0.13266351365468568,11360.71020769788,True,0.0,False,Reorder Now,55.665622435020516,632401.0050153937,2,Reorder inventory,True
