week_start,sku_id,units_sold,seasonal_naive
2022-01-03,S001_P0001,706,
2022-01-10,S001_P0001,686,
2022-01-17,S001_P0001,1142,
2022-01-24,S001_P0001,685,
2022-01-31,S001_P0001,1032,
2022-02-07,S001_P0001,708,
2022-02-14,S001_P0001,994,
2022-02-21,S001_P0001,1222,
2022-02-28,S001_P0001,1259,
2022-03-07,S001_P0001,983,
2022-03-14,S001_P0001,946,
2022-03-21,S001_P0001,552,
2022-03-28,S001_P0001,476,
2022-04-04,S001_P0001,936,
2022-04-11,S001_P0001,1563,
2022-04-18,S001_P0001,877,
2022-04-25,S001_P0001,1295,
2022-05-02,S001_P0001,266,
2022-05-09,S001_P0001,1017,
2022-05-16,S001_P0001,912,
2022-05-23,S001_P0001,943,
2022-05-30,S001_P0001,1236,
2022-06-06,S001_P0001,1426,
2022-06-13,S001_P0001,862,
2022-06-20,S001_P0001,1207,
2022-06-27,S001_P0001,612,
2022-07-04,S001_P0001,472,
2022-07-11,S001_P0001,1079,
2022-07-18,S001_P0001,1134,
2022-07-25,S001_P0001,1466,
2022-08-01,S001_P0001,1208,
2022-08-08,S001_P0001,1016,
2022-08-15,S001_P0001,1267,
2022-08-22,S001_P0001,807,
2022-08-29,S001_P0001,932,
2022-09-05,S001_P0001,1052,
2022-09-12,S001_P0001,1574,
2022-09-19,S001_P0001,1090,
2022-09-26,S001_P0001,1029,
2022-10-03,S001_P0001,749,
2022-10-10,S001_P0001,1123,
2022-10-17,S001_P0001,1005,
2022-10-24,S001_P0001,989,
2022-10-31,S001_P0001,1137,
2022-11-07,S001_P0001,665,
2022-11-14,S001_P0001,681,
2022-11-21,S001_P0001,799,
2022-11-28,S001_P0001,1246,
2022-12-05,S001_P0001,960,
2022-12-12,S001_P0001,756,
2022-12-19,S001_P0001,794,
2022-12-26,S001_P0001,934,
2023-01-02,S001_P0001,826,706.0
2023-01-09,S001_P0001,874,686.0
2023-01-16,S001_P0001,769,1142.0
2023-01-23,S001_P0001,1061,685.0
2023-01-30,S001_P0001,725,1032.0
2023-02-06,S001_P0001,1560,708.0
2023-02-13,S001_P0001,1148,994.0
2023-02-20,S001_P0001,886,1222.0
2023-02-27,S001_P0001,1119,1259.0
2023-03-06,S001_P0001,1358,983.0
2023-03-13,S001_P0001,500,946.0
2023-03-20,S001_P0001,1250,552.0
2023-03-27,S001_P0001,1439,476.0
2023-04-03,S001_P0001,789,936.0
2023-04-10,S001_P0001,933,1563.0
2023-04-17,S001_P0001,559,877.0
2023-04-24,S001_P0001,994,1295.0
2023-05-01,S001_P0001,674,266.0
2023-05-08,S001_P0001,697,1017.0
2023-05-15,S001_P0001,1204,912.0
2023-05-22,S001_P0001,521,943.0
2023-05-29,S001_P0001,686,1236.0
2023-06-05,S001_P0001,863,1426.0
2023-06-12,S001_P0001,1028,862.0
2023-06-19,S001_P0001,865,1207.0
2023-06-26,S001_P0001,1166,612.0
2023-07-03,S001_P0001,611,472.0
2023-07-10,S001_P0001,797,1079.0
2023-07-17,S001_P0001,1217,1134.0
2023-07-24,S001_P0001,1470,1466.0
2023-07-31,S001_P0001,969,1208.0
2023-08-07,S001_P0001,1261,1016.0
2023-08-14,S001_P0001,999,1267.0
2023-08-21,S001_P0001,981,807.0
2023-08-28,S001_P0001,722,932.0
2023-09-04,S001_P0001,771,1052.0
2023-09-11,S001_P0001,462,1574.0
2023-09-18,S001_P0001,1292,1090.0
2023-09-25,S001_P0001,1083,1029.0
2023-10-02,S001_P0001,856,749.0
2023-10-09,S001_P0001,506,1123.0
2023-10-16,S001_P0001,1103,1005.0
2023-10-23,S001_P0001,1098,989.0
2023-10-30,S001_P0001,1164,1137.0
2023-11-06,S001_P0001,899,665.0
2023-11-13,S001_P0001,928,681.0
2023-11-20,S001_P0001,1183,799.0
2023-11-27,S001_P0001,1137,1246.0
2023-12-04,S001_P0001,904,960.0
2023-12-11,S001_P0001,805,756.0
2023-12-18,S001_P0001,1285,794.0
2023-12-25,S001_P0001,619,934.0
2022-01-03,S001_P0002,897,
2022-01-10,S001_P0002,1248,
2022-01-17,S001_P0002,1193,
2022-01-24,S001_P0002,728,
2022-01-31,S001_P0002,1253,
2022-02-07,S001_P0002,984,
2022-02-14,S001_P0002,1562,
2022-02-21,S001_P0002,1040,
2022-02-28,S001_P0002,783,
2022-03-07,S001_P0002,1285,
2022-03-14,S001_P0002,985,
2022-03-21,S001_P0002,1460,
2022-03-28,S001_P0002,641,
2022-04-04,S001_P0002,847,
2022-04-11,S001_P0002,848,
2022-04-18,S001_P0002,1306,
2022-04-25,S001_P0002,1255,
2022-05-02,S001_P0002,658,
2022-05-09,S001_P0002,759,
2022-05-16,S001_P0002,560,
2022-05-23,S001_P0002,778,
2022-05-30,S001_P0002,917,
2022-06-06,S001_P0002,510,
2022-06-13,S001_P0002,773,
2022-06-20,S001_P0002,1222,
2022-06-27,S001_P0002,791,
2022-07-04,S001_P0002,1130,
2022-07-11,S001_P0002,1092,
2022-07-18,S001_P0002,980,
2022-07-25,S001_P0002,516,
2022-08-01,S001_P0002,895,
2022-08-08,S001_P0002,1343,
2022-08-15,S001_P0002,1178,
2022-08-22,S001_P0002,861,
2022-08-29,S001_P0002,936,
2022-09-05,S001_P0002,1135,
2022-09-12,S001_P0002,848,
2022-09-19,S001_P0002,1757,
